State,City,Region,Year,County,Investment (USD)
CA,Newark,SF Bay Area,2012,Alameda County,75600000.0
CT,Norwalk,Hartford,2015,Fairfield County,75000000.0
MD,Baltimore,Baltimore,2012,Baltimore (city) County,74275000.0
NY,Brooklyn,New York City,2013,Kings County,74200000.0
DC,Washington,"Washington, D.C.",2012,District of Columbia County,73100000.0
OR,Beaverton,"Portland, Oregon",2012,Washington County,73000000.0
NY,Buffalo,Buffalo,2012,Erie County,72800000.0
MA,Watertown,Boston,2012,Middlesex County,72600000.0
NY,Troy,"Albany, New York",2015,Rensselaer County,72000000.0
CA,West Hollywood,Los Angeles,2015,Los Angeles County,72000000.0
FL,Wesley Chapel,Tampa,2015,Pasco County,72000000.0
MA,Lexington,Boston,2014,Middlesex County,71380000.0
CA,Cupertino,SF Bay Area,2014,Santa Clara County,71000000.0
RI,Providence,Providence,2012,Providence County,70200000.0
TX,Irving,Dallas,2011,Dallas County,70000000.0
FL,Orlando,Orlando,2015,Orange County,70000000.0
AZ,Scottsdale,Phoenix,2015,Maricopa County,69500000.0
CA,Portola Valley,SF Bay Area,2015,San Mateo County,69000000.0
CA,Encinitas,San Diego,2012,San Diego County,68000000.0
CT,New Haven,Hartford,2013,New Haven County,67200000.0
FL,Delray Beach,Palm Beaches,2015,Palm Beach County,67193502.0
TN,Nashville,Nashville,2014,Davidson County,67012663.0
MA,Maynard,Boston,2013,Middlesex County,67000000.0
CA,Aliso Viejo,Anaheim,2015,Orange County,66800000.0
CA,Rancho Cordova,Sacramento,2014,Sacramento County,66800000.0
CA,San Carlos,SF Bay Area,2011,San Mateo County,66000000.0
KY,Crestwood,Louisville,2014,Oldham County,66000000.0
IA,Des Moines,Des Moines,2013,Polk County,66000000.0
TX,San Antonio,San Antonio,2012,Bexar County,65100000.0
VA,Herndon,"Washington, D.C.",2015,Fairfax County,65000000.0
SC,Greenville,Greenville - Spartanburg,2015,Greenville County,65000000.0
MI,Allen Park,Detroit,2012,Wayne County,65000000.0
MN,Maple Grove,Minneapolis,2011,Hennepin County,64800000.0
MD,Bethesda,"Washington, D.C.",2015,Montgomery County,64800000.0
MD,Rockville,"Washington, D.C.",2013,Montgomery County,63900000.0
NC,Lexington,Greensboro,2013,Davidson County,63758958.0
TX,Houston,Houston,2011,Harris County,63073643.0
GA,Duluth,Atlanta,2015,Gwinnett County,63000000.0
MA,Woburn,Boston,2011,Middlesex County,63000000.0
WA,Tukwila,Seattle,2015,King County,63000000.0
NC,Raleigh,Raleigh,2013,Wake County,62800000.0
NJ,Jersey City,Newark,2015,Hudson County,62500000.0
MA,Newton,Boston,2013,Middlesex County,62389889.0
MD,Lanham,"Washington, D.C.",2013,Prince George's County,62000000.0
NH,Nashua,"Manchester, New Hampshire",2011,Hillsborough County,62000000.0
CO,Fort Collins,Fort Collins,2012,Larimer County,62000000.0
UT,Salt Lake City,Salt Lake City,2012,Salt Lake County,61500000.0
ME,Portland,"Portland, Maine",2015,Cumberland County,61500000.0
AZ,Scottsdale,Phoenix,2013,Maricopa County,61300000.0
NC,Morrisville,Raleigh,2011,Wake County,61000000.0
CA,Hawthorne,Los Angeles,2012,Los Angeles County,60000000.0
NY,Oneonta,"Albany, New York",2013,Otsego County,60000000.0
CT,Darien,Hartford,2015,Fairfield County,60000000.0
NJ,Mount Arlington,Newark,2011,Morris County,60000000.0
CA,Millbrae,SF Bay Area,2015,San Mateo County,60000000.0
CA,Santa Rosa,Napa Valley,2014,Sonoma County,60000000.0
NJ,Monmouth Junction,Newark,2014,Middlesex County,60000000.0
CA,Ventura,Santa Barbara,2014,Ventura County,60000000.0
CA,Dublin,SF Bay Area,2011,Alameda County,60000000.0
GA,Duluth,Atlanta,2013,Gwinnett County,60000000.0
NC,Charlotte,Charlotte,2014,Mecklenburg County,58900000.0
MA,Groton,Worcester,2013,Middlesex County,58750000.0
VA,Reston,"Washington, D.C.",2013,Fairfax County,58600000.0
OH,Columbus,"Columbus, Ohio",2015,Franklin County,58237046.0
PA,Wayne,Philadelphia,2014,Delaware County,58100000.0
CA,San Carlos,SF Bay Area,2012,San Mateo County,56500000.0
NH,Manchester,"Manchester, New Hampshire",2012,Hillsborough County,56000000.0
CA,Berkeley,SF Bay Area,2013,Alameda County,55672672.0
FL,Melbourne Beach,Florida's Space Coast,2011,Brevard County,55000000.0
NM,Albuquerque,Albuquerque,2015,Bernalillo County,54600000.0
NH,Hudson,"Manchester, New Hampshire",2015,Hillsborough County,54000000.0
MA,Burlington,Boston,2013,Middlesex County,53600000.0
CA,San Bruno,SF Bay Area,2012,San Mateo County,53200000.0
PA,Philadelphia,Philadelphia,2011,Philadelphia County,53080000.0
CA,Fremont,SF Bay Area,2013,Alameda County,53000000.0
MI,Kalamazoo,Kalamazoo,2012,Kalamazoo County,52400000.0
MA,Westborough,Worcester,2011,Worcester County,52000000.0
NC,Charlotte,Charlotte,2013,Mecklenburg County,52000000.0
MN,Saint Paul,Minneapolis,2015,Ramsey County,51583244.0
CO,Lafayette,Denver,2014,Boulder County,51400000.0
NC,Raleigh,Raleigh,2012,Wake County,51000000.0
FL,Sarasota,Sarasota - Bradenton,2015,Sarasota County,51000000.0
IA,Ames,Des Moines,2012,Story County,51000000.0
OH,Mason,Cincinnati,2012,Warren County,50000000.0
CA,Brisbane,SF Bay Area,2013,San Mateo County,50000000.0
NH,Nashua,"Manchester, New Hampshire",2014,Hillsborough County,50000000.0
NJ,Trenton,Trenton,2015,Mercer County,50000000.0
CA,Santa Barbara,Santa Barbara,2013,Santa Barbara County,49500000.0
CA,Culver City,Los Angeles,2015,Los Angeles County,49500000.0
OH,Cincinnati,Cincinnati,2013,Hamilton County,48490000.0
UT,South Jordan,Salt Lake City,2011,Salt Lake County,48000000.0
NY,Troy,"Albany, New York",2013,Rensselaer County,48000000.0
OH,Columbus,"Columbus, Ohio",2013,Franklin County,48000000.0
MA,Wellesley,Boston,2012,Norfolk County,48000000.0
NH,Lebanon,"Manchester, New Hampshire",2015,Grafton County,48000000.0
MA,Watertown,Boston,2011,Middlesex County,47250000.0
NV,Las Vegas,Las Vegas,2013,Clark County,47000000.0
OH,Cleveland,Cleveland,2014,Cuyahoga County,46500000.0
CA,Saratoga,SF Bay Area,2015,Santa Clara County,46250000.0
NY,Huntington Station,Long Island,2011,Suffolk County,46000000.0
FL,Miami,Miami,2011,Miami-Dade County,45513440.0
NJ,Princeton,Newark,2015,Mercer County,45500000.0
CA,Westlake Village,Los Angeles,2015,Los Angeles County,45500000.0
NV,Reno,Reno - Sparks,2015,Washoe County,45000000.0
CA,San Clemente,Anaheim,2012,Orange County,45000000.0
MD,Columbia,Baltimore,2014,Howard County,45000000.0
CA,Scotts Valley,SF Bay Area,2015,Santa Cruz County,45000000.0
CA,Millbrae,SF Bay Area,2013,San Mateo County,45000000.0
IL,Evanston,Chicago,2014,Cook County,44568236.0
CO,Louisville,Denver,2011,Boulder County,44500000.0
TN,Chattanooga,Chattanooga,2014,Hamilton County,44440000.0
AZ,Scottsdale,Phoenix,2012,Maricopa County,43750000.0
WI,Madison,Madison,2012,Dane County,43000000.0
TX,Houston,Houston,2013,Harris County,42700000.0
NY,Oneonta,"Albany, New York",2011,Otsego County,42000000.0
NY,Lisle,NY - Other,2013,Broome County,42000000.0
UT,Midvale,Salt Lake City,2015,Salt Lake County,42000000.0
VA,Leesburg,"Washington, D.C.",2015,Loudoun County,41200000.0
OH,Mason,Cincinnati,2011,Warren County,41000000.0
IL,Schaumburg,Chicago,2013,Cook County,41000000.0
MA,Marlborough,Boston,2014,Middlesex County,41000000.0
MA,Dedham,Boston,2012,Norfolk County,40800000.0
SC,Charleston,"Charleston, South Carolina",2014,Charleston County,40200000.0
MD,Bethesda,"Washington, D.C.",2013,Montgomery County,40000000.0
MA,Chelsea,Boston,2011,Suffolk County,40000000.0
CO,Littleton,Denver,2012,Arapahoe County,40000000.0
UT,American Fork,Salt Lake City,2012,Utah County,40000000.0
NH,Manchester,"Manchester, New Hampshire",2014,Hillsborough County,40000000.0
MN,Maple Grove,Minneapolis,2015,Hennepin County,40000000.0
TX,San Antonio,San Antonio,2015,Bexar County,40000000.0
CA,Solana Beach,San Diego,2015,San Diego County,40000000.0
TX,Dallas,Dallas,2013,Dallas County,39720000.0
CA,Costa Mesa,Anaheim,2015,Orange County,39399996.0
CA,Hayward,SF Bay Area,2011,Alameda County,39200000.0
VA,Herndon,"Washington, D.C.",2012,Fairfax County,38996000.0
IA,Des Moines,Des Moines,2014,Polk County,38800000.0
CA,Glendale,Los Angeles,2014,Los Angeles County,38100000.0
NY,Buffalo,Buffalo,2011,Erie County,37800000.0
IL,Oak Park,Chicago,2014,Cook County,37500000.0
CT,Orange,Hartford,2012,New Haven County,37500000.0
TX,Plano,Dallas,2013,Collin County,36800000.0
MD,Frederick,Hagerstown,2014,Frederick County,36700000.0
NM,Albuquerque,Albuquerque,2013,Bernalillo County,36300000.0
NY,Stony Brook,Long Island,2012,Suffolk County,36000000.0
IL,Deerfield,Chicago,2015,Lake County,36000000.0
CA,Mill Valley,SF Bay Area,2011,Marin County,36000000.0
FL,Sarasota,Sarasota - Bradenton,2014,Sarasota County,36000000.0
GA,Alpharetta,Atlanta,2013,Fulton County,35800000.0
TN,Brentwood,Nashville,2015,Williamson County,35174780.0
FL,Fort Lauderdale,Ft. Lauderdale,2013,Broward County,35000000.0
PA,Wayne,Philadelphia,2012,Delaware County,34800000.0
PA,Fort Washington,Philadelphia,2011,Montgomery County,34500000.0
NY,White Plains,New York City,2013,Westchester County,34500000.0
NM,Albuquerque,Albuquerque,2014,Bernalillo County,34500000.0
WI,Madison,Madison,2011,Dane County,34200000.0
PA,Conshohocken,Philadelphia,2011,Montgomery County,34100000.0
TX,College Station,Austin,2013,Brazos County,34000000.0
NJ,Monmouth Junction,Newark,2011,Middlesex County,34000000.0
MI,Livonia,Detroit,2011,Wayne County,34000000.0
VA,Vienna,"Washington, D.C.",2013,Fairfax County,34000000.0
PA,Audubon,Philadelphia,2013,Montgomery County,33600000.0
CA,Oakland,SF Bay Area,2013,Alameda County,33520000.0
CA,Alameda,SF Bay Area,2011,Alameda County,33507408.0
NY,Troy,"Albany, New York",2011,Rensselaer County,33000000.0
MA,Needham,Boston,2013,Norfolk County,33000000.0
NC,Wilmington,"Wilmington - Cape Fear, North Carolina",2014,New Hanover County,32999991.0
CA,West Hollywood,Los Angeles,2013,Los Angeles County,32537704.0
MD,Fulton,Baltimore,2015,Howard County,32500000.0
MN,Plymouth,Minneapolis,2012,Hennepin County,32500000.0
AZ,Scottsdale,Phoenix,2011,Maricopa County,32399988.0
MA,Andover,Boston,2013,Essex County,32210508.0
VA,Reston,"Washington, D.C.",2011,Fairfax County,32100000.0
SC,Sullivans Island,"Charleston, South Carolina",2014,Charleston County,32000000.0
CA,Larkspur,SF Bay Area,2012,Marin County,32000000.0
TX,Fort Worth,Dallas,2013,Tarrant County,32000000.0
NC,Tarboro,Raleigh,2012,Edgecombe County,32000000.0
CA,Del Mar,San Diego,2015,San Diego County,32000000.0
CA,Santa Cruz,SF Bay Area,2013,Santa Cruz County,32000000.0
TX,Irving,Dallas,2014,Dallas County,31600000.0
NY,Manhattan,New York City,2015,New York County,31500000.0
CO,Wheat Ridge,Denver,2013,Jefferson County,31500000.0
VA,Herndon,"Washington, D.C.",2014,Fairfax County,31225872.0
MA,Groton,Worcester,2011,Middlesex County,31200000.0
WA,Kirkland,Seattle,2014,King County,31000000.0
WA,Redmond,Seattle,2014,King County,31000000.0
TX,Grand Prairie,Dallas,2014,Dallas County,31000000.0
CA,Alameda,SF Bay Area,2012,Alameda County,30671080.0
CA,Davis,Sacramento,2015,Yolo County,30400000.0
CA,Los Gatos,SF Bay Area,2015,Santa Clara County,30100000.0
WI,Milwaukee,Milwaukee,2011,Milwaukee County,30100000.0
OR,Beaverton,"Portland, Oregon",2013,Washington County,30076071.0
MN,Saint Paul,Minneapolis,2011,Ramsey County,30058608.0
CA,Alameda,SF Bay Area,2013,Alameda County,30000000.0
CA,San Clemente,Anaheim,2011,Orange County,30000000.0
CA,Carpinteria,Santa Barbara,2014,Santa Barbara County,30000000.0
LA,Baton Rouge,Baton Rouge,2011,East Baton Rouge County,30000000.0
MA,Framingham,Boston,2012,Middlesex County,30000000.0
CA,Davis,Sacramento,2014,Yolo County,30000000.0
CA,Brisbane,SF Bay Area,2015,San Mateo County,30000000.0
MN,Mendota,MN - Other,2014,Dakota County,30000000.0
FL,Fort Lauderdale,Ft. Lauderdale,2012,Broward County,30000000.0
CA,Roseville,Sacramento,2014,Placer County,30000000.0
CA,Sebastopol,Napa Valley,2015,Sonoma County,30000000.0
CA,Poway,San Diego,2014,San Diego County,30000000.0
CA,Solana Beach,San Diego,2011,San Diego County,30000000.0
KS,Kansas City,Kansas City,2014,Wyandotte County,30000000.0
MI,Detroit,Detroit,2013,Wayne County,29975011.0
TN,Brentwood,Nashville,2014,Williamson County,29600016.0
CA,Carlsbad,San Diego,2011,San Diego County,29200000.0
SC,Charleston,"Charleston, South Carolina",2011,Charleston County,28800000.0
WI,Madison,Madison,2013,Dane County,28575000.0
NY,Rochester,"Rochester, New York",2015,Monroe County,28525000.0
CA,Mojave,Bakersfield,2014,Kern County,28400000.0
MN,Saint Paul,Minneapolis,2014,Ramsey County,28235308.0
IL,Highland Park,Chicago,2015,Lake County,28000000.0
MA,Wakefield,Boston,2014,Middlesex County,28000000.0
ND,Grand Forks,Fargo,2013,Grand Forks County,28000000.0
TN,Brentwood,Nashville,2012,Williamson County,27900000.0
CA,Laguna Hills,Los Angeles,2012,Orange County,27600000.0
CA,Newport Beach,Anaheim,2011,Orange County,27500000.0
MD,Frederick,Hagerstown,2012,Frederick County,27500000.0
CA,Newport Beach,Anaheim,2014,Orange County,27320000.0
MI,Ann Arbor,Detroit,2011,Washtenaw County,27300000.0
CO,Englewood,Denver,2015,Arapahoe County,27000000.0
RI,Providence,Providence,2011,Providence County,27000000.0
PA,Conshohocken,Philadelphia,2013,Montgomery County,27000000.0
OH,Independence,Cincinnati,2015,Cuyahoga County,26800000.0
MD,Annapolis,Baltimore,2012,Anne Arundel County,26594895.0
FL,Lake Mary,Orlando,2011,Seminole County,26400000.0
NY,Madison,NY - Other,2014,Madison County,26400000.0
CA,West Hollywood,Los Angeles,2011,Los Angeles County,26200000.0
MT,Missoula,Missoula,2014,Missoula County,26000000.0
FL,Orlando,Orlando,2013,Orange County,25900000.0
CA,San Ramon,SF Bay Area,2011,Contra Costa County,25800000.0
CO,Broomfield,Denver,2012,Broomfield County,25750000.0
TX,Richardson,Dallas,2013,Dallas County,25300000.0
MA,Wellesley,Boston,2011,Norfolk County,25200000.0
CO,Fort Collins,Fort Collins,2015,Larimer County,25000000.0
IL,Northbrook,Chicago,2011,Cook County,25000000.0
NC,Raleigh,Raleigh,2011,Wake County,25000000.0
CA,Saratoga,SF Bay Area,2014,Santa Clara County,25000000.0
CA,San Leandro,SF Bay Area,2014,Alameda County,25000000.0
CT,Norwalk,Hartford,2013,Fairfield County,25000000.0
MD,Chevy Chase,"Washington, D.C.",2012,Montgomery County,25000000.0
MN,Rockville,MN - Other,2014,Stearns County,25000000.0
NJ,Trenton,Trenton,2012,Mercer County,25000000.0
IL,Evanston,Chicago,2015,Cook County,24698033.0
MD,Rockville,"Washington, D.C.",2014,Montgomery County,24350000.0
NH,Manchester,"Manchester, New Hampshire",2013,Hillsborough County,24300018.0
MI,Grand Rapids,Grand Rapids,2014,Kent County,24000000.0
CT,Stamford,Hartford,2014,Fairfield County,24000000.0
NY,Ithaca,Elmira,2013,Tompkins County,24000000.0
MA,Lowell,Boston,2015,Middlesex County,24000000.0
MA,Needham,Boston,2012,Norfolk County,24000000.0
OH,Columbus,"Columbus, Ohio",2011,Franklin County,24000000.0
WA,Spokane,Spokane,2011,Spokane County,24000000.0
CA,Costa Mesa,Anaheim,2014,Orange County,24000000.0
CA,Lafayette,SF Bay Area,2015,Contra Costa County,24000000.0
MO,Fremont,MO - Other,2013,Carter County,24000000.0
NY,New City,New York City,2014,Rockland County,24000000.0
MT,Toston,Helena,2012,Broadwater County,24000000.0
SD,Sioux Falls,Sioux Falls,2013,Minnehaha County,23800000.0
NC,Morrisville,Raleigh,2012,Wake County,23600000.0
TX,Friendswood,Houston,2015,Galveston County,23400000.0
MD,Lanham,"Washington, D.C.",2015,Prince George's County,23100000.0
CT,Stamford,Hartford,2012,Fairfield County,23000000.0
OK,Oklahoma City,Oklahoma City,2012,Oklahoma County,23000000.0
ID,Boise,Boise,2011,Ada County,22990032.0
MD,Jessup,Baltimore,2011,Anne Arundel County,22780000.0
OH,Cleveland,Cleveland,2015,Cuyahoga County,22500000.0
PA,Plymouth Meeting,Philadelphia,2015,Montgomery County,22500000.0
CA,Sacramento,Sacramento,2011,Sacramento County,22500000.0
WA,Issaquah,Seattle,2015,King County,22000000.0
NV,Las Vegas,Las Vegas,2011,Clark County,22000000.0
NC,Chapel Hill,Raleigh,2015,Orange County,21900000.0
CA,San Bruno,SF Bay Area,2014,San Mateo County,21480974.0
AZ,Mesa,Phoenix,2011,Maricopa County,21000000.0
VA,Sterling,"Washington, D.C.",2015,Loudoun County,21000000.0
PA,Ambler,Philadelphia,2014,Montgomery County,21000000.0
FL,Fort Lauderdale,Ft. Lauderdale,2011,Broward County,21000000.0
FL,Coral Gables,Miami,2011,Miami-Dade County,21000000.0
NJ,New Brunswick,Newark,2012,Middlesex County,21000000.0
MA,Danvers,Boston,2013,Essex County,21000000.0
AZ,Tempe,Phoenix,2013,Maricopa County,21000000.0
CA,Culver City,Los Angeles,2011,Los Angeles County,20900000.0
CA,California City,Bakersfield,2015,Kern County,20400000.0
CA,Millbrae,SF Bay Area,2012,San Mateo County,20400000.0
MD,Hyattsville,MD - Other,2013,Prince George's County,20400000.0
CA,Burbank,Los Angeles,2014,Los Angeles County,20300000.0
UT,Orem,Salt Lake City,2014,Utah County,20190000.0
NM,Los Alamos,Albuquerque,2015,Los Alamos County,20000000.0
CA,Calabasas,Los Angeles,2015,Los Angeles County,20000000.0
AR,Fayetteville,Fayetteville,2012,Washington County,20000000.0
NY,Madison,NY - Other,2011,Madison County,20000000.0
AL,Birmingham,Birmingham,2015,Jefferson County,20000000.0
FL,Jacksonville,Jacksonville,2011,Duval County,20000000.0
IA,Des Moines,Des Moines,2012,Polk County,20000000.0
SC,Sullivans Island,"Charleston, South Carolina",2013,Charleston County,20000000.0
FL,Orlando,Orlando,2011,Orange County,20000000.0
UT,Midvale,Salt Lake City,2014,Salt Lake County,20000000.0
CA,Scotts Valley,SF Bay Area,2013,Santa Cruz County,20000000.0
FL,Lakeland,Tampa,2013,Polk County,20000000.0
MA,Medford,Boston,2012,Middlesex County,20000000.0
CA,Manhattan Beach,Los Angeles,2013,Los Angeles County,20000000.0
NC,Cary,Raleigh,2012,Wake County,19800000.0
CA,Dublin,SF Bay Area,2014,Alameda County,19800000.0
MA,Framingham,Boston,2011,Middlesex County,19500000.0
CA,Pasadena,Los Angeles,2015,Los Angeles County,19500000.0
CA,Berkeley,SF Bay Area,2011,Alameda County,19250000.0
CT,Norwalk,Hartford,2011,Fairfield County,19200000.0
WA,Kirkland,Seattle,2012,King County,18900000.0
WI,Middleton,Madison,2012,Dane County,18600000.0
AZ,Chandler,Phoenix,2015,Maricopa County,18400000.0
MI,Grand Rapids,Grand Rapids,2015,Kent County,18400000.0
CO,Aurora,Denver,2015,Adams County,18400000.0
IN,Indianapolis,Indianapolis,2011,Marion County,18200000.0
NC,Charlotte,Charlotte,2012,Mecklenburg County,18100000.0
CA,Alameda,SF Bay Area,2014,Alameda County,18000000.0
CA,Napa,Napa Valley,2013,Napa County,18000000.0
TX,Richardson,Dallas,2015,Dallas County,18000000.0
CA,Glendale,Los Angeles,2015,Los Angeles County,18000000.0
CA,San Juan Capistrano,"Orange County, California",2011,Orange County,18000000.0
CA,Los Gatos,SF Bay Area,2011,Santa Clara County,18000000.0
CA,Belmont,SF Bay Area,2013,San Mateo County,17900000.0
NC,Greenville,"Greenville, North Carolina",2014,Pitt County,17848804.0
NE,Ewing,NE - Other,2012,Holt County,17500000.0
NJ,Morristown,Newark,2013,Morris County,17500000.0
OH,Willoughby,Cleveland,2012,Lake County,17500000.0
VT,Burlington,Montpelier,2014,Chittenden County,17250000.0
MD,Silver Spring,"Washington, D.C.",2013,Montgomery County,17200000.0
CA,Manhattan Beach,Los Angeles,2015,Los Angeles County,17000000.0
OH,Dayton,Dayton,2015,Montgomery County,17000000.0
TX,Georgetown,Austin,2013,Williamson County,17000000.0
NE,Lincoln,Omaha,2014,Lancaster County,16900000.0
MI,Detroit,Detroit,2015,Wayne County,16800000.0
NJ,Morristown,Newark,2014,Morris County,16750000.0
VA,Charlottesville,"Washington, D.C.",2013,Charlottesville (city) County,16500000.0
FL,Gainesville,Gainesville,2012,Alachua County,16500000.0
CO,Englewood,Denver,2013,Arapahoe County,16500000.0
WI,Delafield,Milwaukee,2012,Waukesha County,16000000.0
AL,Huntsville,Huntsville,2014,Madison County,16000000.0
MA,Dedham,Boston,2013,Norfolk County,16000000.0
CO,Fort Collins,Fort Collins,2011,Larimer County,16000000.0
KS,Leawood,Kansas City,2015,Johnson County,16000000.0
TN,Franklin,Nashville,2015,Williamson County,16000000.0
MD,Gaithersburg,"Washington, D.C.",2011,Montgomery County,16000000.0
PA,Scranton,Scranton,2012,Lackawanna County,16000000.0
OR,Beaverton,"Portland, Oregon",2015,Washington County,16000000.0
CT,Norwalk,Hartford,2012,Fairfield County,15500000.0
VA,Ashburn,"Washington, D.C.",2014,Loudoun County,15300000.0
CA,Beverly Hills,Los Angeles,2013,Los Angeles County,15200000.0
CA,Novato,SF Bay Area,2012,Marin County,15100000.0
CT,Westport,Hartford,2013,Fairfield County,15000000.0
