State,City,Region,Year,County,Investment (USD)
OK,Oklahoma City,Oklahoma City,2014,Oklahoma County,5850000.0
FL,Delray Beach,Palm Beaches,2011,Palm Beach County,5800000.0
TX,San Antonio,San Antonio,2013,Bexar County,5770255.0
CA,Beverly Hills,Los Angeles,2012,Los Angeles County,5600000.0
CA,Emeryville,SF Bay Area,2011,Alameda County,5567940.0
FL,Fort Lauderdale,Ft. Lauderdale,2015,Broward County,5500000.0
MO,Columbia,St. Louis,2014,Boone County,5400000.0
NY,Irvington,NY - Other,2012,Westchester County,5300000.0
OR,Eugene,Eugene,2015,Lane County,5299830.0
CT,Trumbull,Hartford,2013,Fairfield County,5200000.0
IL,Romeoville,Chicago,2011,Will County,5200000.0
WA,Bellingham,Seattle,2015,Whatcom County,5100000.0
PA,Chalfont,Philadelphia,2014,Bucks County,5000000.0
PA,Ambler,Philadelphia,2015,Montgomery County,5000000.0
PA,Downingtown,Philadelphia,2011,Chester County,5000000.0
MA,Wellesley,Boston,2014,Norfolk County,5000000.0
CA,Manhattan Beach,Los Angeles,2011,Los Angeles County,5000000.0
NY,Saratoga Springs,"Albany, New York",2014,Saratoga County,4900060.0
FL,Odessa,Tampa,2014,Pasco County,4853100.0
CO,Louisville,Denver,2014,Boulder County,4800000.0
VA,Herndon,"Washington, D.C.",2011,Fairfax County,4700001.0
KY,Louisville,Louisville,2014,Jefferson County,4600000.0
CA,Brisbane,SF Bay Area,2012,San Mateo County,4600000.0
MO,Kansas City,Kansas City,2015,Jackson County,4600000.0
IL,Naperville,Chicago,2014,DuPage County,4600000.0
MI,Troy,Detroit,2014,Oakland County,4580000.0
IA,Des Moines,Des Moines,2011,Polk County,4500000.0
IN,Mishawaka,South Bend,2012,St. Joseph County,4500000.0
CA,Brisbane,SF Bay Area,2014,San Mateo County,4500000.0
TX,Irving,Dallas,2012,Dallas County,4500000.0
SC,Hilton Head Island,Hilton Head Island,2014,Beaufort County,4500000.0
MA,Beverly,Boston,2012,Essex County,4500000.0
CA,Moraga,SF Bay Area,2013,Contra Costa County,4500000.0
PA,Bethlehem,Allentown,2013,Northampton County,4500000.0
CO,Golden,Denver,2012,Jefferson County,4500000.0
MA,Marlborough,Boston,2012,Middlesex County,4473148.0
FL,Cocoa Beach,Florida's Space Coast,2014,Brevard County,4400000.0
MA,Whitinsville,Boston,2012,Worcester County,4400000.0
PA,Danville,Scranton,2013,Montour County,4200000.0
TN,Franklin,Nashville,2012,Williamson County,4100000.0
CA,Half Moon Bay,SF Bay Area,2015,San Mateo County,4099999.0
MA,Medford,Boston,2015,Middlesex County,4049999.0
CA,San Juan Capistrano,"Orange County, California",2015,Orange County,4025000.0
NJ,Newark,Newark,2013,Essex County,4000000.0
CA,Livermore,SF Bay Area,2013,Alameda County,4000000.0
MA,Wilmington,Boston,2015,Middlesex County,4000000.0
WI,Brookfield,Milwaukee,2011,Waukesha County,4000000.0
NM,Santa Fe,Albuquerque,2013,Santa Fe County,4000000.0
MN,Hamel,MN - Other,2014,Hennepin County,4000000.0
CA,Napa,Napa Valley,2011,Napa County,4000000.0
PA,Horsham,Philadelphia,2014,Montgomery County,4000000.0
MA,Gloucester,Boston,2014,Essex County,4000000.0
CA,Walnut Creek,SF Bay Area,2011,Contra Costa County,4000000.0
MD,Greenbelt,"Washington, D.C.",2012,Prince George's County,4000000.0
MA,Ayer,Boston,2014,Middlesex County,4000000.0
NC,Greensboro,Greensboro,2015,Guilford County,4000000.0
OH,Wooster,Akron - Canton,2013,Wayne County,4000000.0
CA,San Bruno,SF Bay Area,2013,San Mateo County,4000000.0
NJ,Parsippany,Newark,2011,Morris County,4000000.0
CA,Dublin,SF Bay Area,2015,Alameda County,4000000.0
NY,Troy,"Albany, New York",2014,Rensselaer County,3972414.0
IN,Indianapolis,Indianapolis,2013,Marion County,3800000.0
TN,Chattanooga,Chattanooga,2013,Hamilton County,3750000.0
OH,New Albany,"Columbus, Ohio",2014,Franklin County,3600000.0
CO,Louisville,Denver,2013,Boulder County,3600000.0
OH,Akron,Akron - Canton,2012,Summit County,3600000.0
PA,Horsham,Philadelphia,2012,Montgomery County,3500000.0
KS,Wichita,Wichita,2013,Sedgwick County,3500000.0
TX,Georgetown,Austin,2014,Williamson County,3500000.0
TX,Carrollton,Dallas,2014,Dallas County,3500000.0
NY,Valhalla,NY - Other,2013,Westchester County,3300000.0
NH,Lebanon,"Manchester, New Hampshire",2011,Grafton County,3250000.0
AZ,Tempe,Phoenix,2012,Maricopa County,3200000.0
CT,Westport,Hartford,2012,Fairfield County,3100000.0
TN,Memphis,Memphis,2015,Shelby County,3100000.0
CT,New Haven,Hartford,2011,New Haven County,3000000.0
CA,Fullerton,Anaheim,2014,Orange County,3000000.0
CA,Seal Beach,"Orange County, California",2012,Orange County,3000000.0
CA,Yorba Linda,Ontario - Inland Empire,2011,Orange County,3000000.0
VA,Arlington,"Washington, D.C.",2011,Arlington County,3000000.0
MD,Silver Spring,"Washington, D.C.",2012,Montgomery County,3000000.0
MD,Chevy Chase,"Washington, D.C.",2013,Montgomery County,3000000.0
PA,Oakdale,Pittsburgh,2012,Allegheny County,3000000.0
CA,Mill Valley,SF Bay Area,2014,Marin County,3000000.0
VA,Williamsburg,"Washington, D.C.",2013,Williamsburg (city) County,3000000.0
WI,Milwaukee,Milwaukee,2014,Milwaukee County,2900000.0
OH,Dublin,"Columbus, Ohio",2011,Franklin County,2800000.0
KY,Lexington,Lexington,2015,Fayette County,2650000.0
VT,Middlebury,VT - Other,2014,Addison County,2640000.0
TX,Temple,Austin,2015,Bell County,2500000.0
PA,Lancaster,Harrisburg,2015,Lancaster County,2500000.0
CA,Newport Beach,Anaheim,2013,Orange County,2500000.0
CA,Burbank,Los Angeles,2013,Los Angeles County,2500000.0
AR,Fayetteville,Fayetteville,2013,Washington County,2500000.0
NH,Milford,"Manchester, New Hampshire",2012,Hillsborough County,2500000.0
CA,Sacramento,Sacramento,2014,Sacramento County,2500000.0
DE,Newark,"Wilmington, Delaware",2014,New Castle County,2500000.0
VA,Leesburg,"Washington, D.C.",2012,Loudoun County,2500000.0
MD,Clinton,MD - Other,2014,Prince George's County,2450000.0
IL,Lincolnwood,Chicago,2014,Cook County,2400000.0
IL,Hampshire,IL - Other,2015,Kane County,2400000.0
CA,San Leandro,SF Bay Area,2012,Alameda County,2320000.0
TN,Chattanooga,Chattanooga,2012,Hamilton County,2250000.0
TX,Frisco,Dallas,2013,Collin County,2250000.0
CA,Healdsburg,Napa Valley,2013,Sonoma County,2175000.0
IN,Fort Wayne,Fort Wayne,2012,Allen County,2100000.0
ME,Portland,"Portland, Maine",2013,Cumberland County,2000000.0
AR,Fayetteville,Fayetteville,2015,Washington County,2000000.0
WA,Redmond,Seattle,2012,King County,2000000.0
CO,Lafayette,Denver,2012,Boulder County,2000000.0
CA,Fountain Valley,"Orange County, California",2013,Orange County,2000000.0
TN,Memphis,Memphis,2014,Shelby County,2000000.0
WI,River Falls,WI - Other,2014,Pierce County,2000000.0
NY,Buffalo,Buffalo,2015,Erie County,2000000.0
NY,Rochester,"Rochester, New York",2013,Monroe County,2000000.0
MA,Brockton,Boston,2012,Plymouth County,2000000.0
LA,New Orleans,New Orleans,2013,Orleans County,2000000.0
TX,Frisco,Dallas,2011,Collin County,2000000.0
NY,Stony Brook,Long Island,2015,Suffolk County,2000000.0
MD,Lanham,"Washington, D.C.",2011,Prince George's County,1900000.0
MO,Kansas City,Kansas City,2012,Jackson County,1900000.0
NJ,Cedar Knolls,NJ - Other,2014,Morris County,1825000.0
PA,Paoli,Philadelphia,2011,Chester County,1800000.0
WA,Kirkland,Seattle,2015,King County,1800000.0
TN,Franklin,Nashville,2011,Williamson County,1655701.0
CT,Shelton,Hartford,2013,Fairfield County,1600000.0
CA,Roseville,Sacramento,2015,Placer County,1500000.0
OK,Oklahoma City,Oklahoma City,2015,Oklahoma County,1500000.0
CA,Encinitas,San Diego,2011,San Diego County,1500000.0
LA,New Orleans,New Orleans,2012,Orleans County,1500000.0
NJ,Moorestown,NJ - Other,2011,Burlington County,1500000.0
FL,Tampa,Tampa,2013,Hillsborough County,1500000.0
PA,Doylestown,Philadelphia,2013,Bucks County,1500000.0
NH,Lebanon,"Manchester, New Hampshire",2013,Grafton County,1500000.0
AL,Madison,Huntsville,2012,Madison County,1400000.0
RI,Providence,Providence,2015,Providence County,1400000.0
WI,Grafton,Milwaukee,2014,Ozaukee County,1364259.0
MD,Potomac,"Washington, D.C.",2011,Montgomery County,1300000.0
TN,Chattanooga,Chattanooga,2015,Hamilton County,1200000.0
MD,Annapolis,Baltimore,2013,Anne Arundel County,1135000.0
KS,Prairie Village,KS - Other,2011,Johnson County,1100000.0
PA,Oakdale,Pittsburgh,2011,Allegheny County,1100000.0
GA,Marietta,Atlanta,2011,Cobb County,1100000.0
NE,Lincoln,Omaha,2012,Lancaster County,1100000.0
NE,Kearney,NE - Other,2015,Buffalo County,1100000.0
WA,Stevenson,WA - Other,2012,Skamania County,1000000.0
TN,Memphis,Memphis,2013,Shelby County,1000000.0
SD,Sioux Falls,Sioux Falls,2015,Minnehaha County,1000000.0
CA,Costa Mesa,Anaheim,2012,Orange County,1000000.0
MI,East Lansing,Lansing,2013,Ingham County,1000000.0
OH,Solon,Cleveland,2012,Cuyahoga County,1000000.0
NY,Rochester,"Rochester, New York",2014,Monroe County,1000000.0
CA,Healdsburg,Napa Valley,2014,Sonoma County,1000000.0
UT,Draper,Salt Lake City,2013,Salt Lake County,1000000.0
FL,Coral Gables,Miami,2014,Miami-Dade County,1000000.0
CO,Greenwood Village,Denver,2011,Arapahoe County,986842.0
SC,Greenville,Greenville - Spartanburg,2013,Greenville County,900000.0
FL,Maitland,Orlando,2011,Orange County,900000.0
MI,Detroit,Detroit,2011,Wayne County,900000.0
VA,Charlottesville,"Washington, D.C.",2014,Charlottesville (city) County,850000.0
TN,Knoxville,Knoxville,2014,Knox County,800000.0
CA,Walnut,Ontario - Inland Empire,2014,Los Angeles County,800000.0
OH,Perrysburg,Toledo,2012,Wood County,750000.0
OK,Tulsa,Tulsa,2013,Tulsa County,750000.0
KS,Prairie Village,KS - Other,2012,Johnson County,650000.0
IL,Elmhurst,Chicago,2014,DuPage County,645000.0
WA,Spokane,Spokane,2014,Spokane County,602400.0
NE,Omaha,Omaha,2013,Douglas County,550000.0
